date,name,address,icon,userComment,rating,tags,photos
"2021-11-07T03:30:17.241Z","El Jardin Tequila Bar & Restaurant","368 Santana Row, San Jose, CA 95128, USA","restaurant","","","Afterwork#Already tried#Bar#California#Cocktails#Restaurant#Terrace#Tapas",""
"2021-11-03T18:39:53.104Z","Paris Baguette","5009 Mowry Ave Fremont, CA 94538 USA","supermarket","","","Brunch#Coffee",""
"2021-10-09T22:30:46.428Z","Ciudad Sagrada","Av 2 Ote 615, San Miguel, Barrio de San Miguel Tianguisnahuitl, 72760 San Andrés Cholula, Pue., Mexico","restaurant","","","Brunch#Bar#Already tried#Cocktails#Chic#Restaurant#Tasty!#Mexico",""
"2021-10-09T01:43:42.605Z","Pasto","Avenida 13 Oriente San Pablo Tecámac 72750 San Pedro Cholula, Puebla Mexico","generic","","","Already tried#Afterwork#Bar#Cocktails#Mexico#Restaurant#Tasty!",""
"2021-09-26T18:54:36.433Z","The Breakfast Club at Midtown","1432 W San Carlos St #80, San Jose, CA 95126, USA","restaurant","","","Brunch#Burger#California#Cocktails#Coffee#Restaurant#Tasty!",""
"2021-09-23T00:04:35.605Z","Bend Painting","62910 Boyd Acres Rd Bend, OR 97701 USA","generic","","","Tasty!#Beers",""
"2021-09-22T02:47:27.891Z","Sicilian Butcher","3151 W Frye Rd Chandler, AZ 85226 USA","restaurant","","","Already tried#Restaurant#Tasty!",""
"2021-09-06T00:35:26.649Z","Tony's Pizza Napoletana","1570 Stockton St, San Francisco, CA 94133, United States","restaurant","","","Already tried#California#Coffee#Tasty!#Restaurant#Pizza",""
"2021-09-05T21:33:29.591Z","Cafe Réveille","201 Steiner St, San Francisco, CA 94117, USA","cafe","","","Already tried#Brunch#Burger#California#Chic#Coffee",""
"2021-09-02T04:48:58.119Z","El Gran Takazo","Boulevard Hermanos Serdán San Rafael Poniente 72029 Puebla, Puebla Mexico","generic","","","Already tried#Mexico#Meat#Restaurant#Tasty!",""
"2021-08-29T19:00:52.548Z","New Belgium Brewpub San Francisco","1000a 3rd St, San Francisco CA 94158","bar","","","Burger#California#Brunch#Bar#Tasty!#To try",""
"2021-08-29T18:59:21.001Z","Westwood","2036 Lombard St San Francisco, CA 94123 USA","restaurant","","","Brunch#Burger#California#Bar#Tasty!#Restaurant#To try",""
"2021-08-29T18:57:16.254Z","Causwells","2346 Chestnut St, San Francisco, CA 94123, United States","restaurant","","","Already tried#To try#Tapas#Restaurant#Tasty!#California#Burger#Brunch",""
"2021-08-22T18:18:38.435Z","Hippies Brew","34910 11th St Union City, CA 94587 USA","restaurant","","","Brunch#Already tried#Coffee#California#Restaurant#Tasty!",""
"2021-08-01T00:13:58.450Z","Cultura Comida Y Bebida","Dolores St Carmel-by-the-Sea, CA 93921 USA","restaurant","","","Already tried#Bar#California#Cocktails#Mexico#Restaurant#Tasty!#Tapas",""
"2021-07-24T03:01:55.403Z","Telefèric Barcelona Palo Alto","855 El Camino Real #130, Palo Alto, CA 94301, États-Unis","restaurant","","","Barcelona#California#Restaurant#Tasty!#Tapas#To try",""
"2021-07-05T01:58:23.556Z","Smuggler's Cove","650 Gough St, San Francisco, CA 94102, United States","bar","","","Bar#Cocktails#California",""
"2021-06-26T04:43:47.963Z","Lazy Dog Restaurant & Bar","3100 Newpark Mall, Newark CA 94560","restaurant","","","Already tried#Brunch#Burger#California#Cocktails#Restaurant#Meat#Whisky#Tasty!",""
"2021-06-13T00:08:24.368Z","Zazil Cocina Mexicana","377 Santana Row San Jose, CA 95128 USA","restaurant","","","Already tried#Beers#Brunch#California#Restaurant#Tasty!#Tapas#Terrace",""
